Company,CompanyCode,Filename,UploadedOn,Month,Year,FileSizeKB,Status,Employees,Departments,DailyRecords,MonthlyRecords
Bhubaneswar Plaza,BBSR PLZ,MnPerformance_1 BBSR PLZ Sep.xlsx,2026-09-03 13:09:42,,,25.18,Imported,13.0,2.0,26.0,13.0
Bhubaneswar Plaza,BBSR PLZ,MnPerformance_1 BBSR PLZ Aug.xlsx,2026-09-03 13:10:24,,,25.76,Imported,13.0,2.0,65.0,13.0
Neelkamal Office,NLKL OFC,MnPerformance_1 NLKL OFC Aug.xlsx,2026-09-03 13:10:40,,,65.55,Imported,29.0,1.0,616.0,29.0
Govardhan,GOV,MnPerformance_1 Gov May.xlsx,2026-09-03 13:11:12,,,310.29,Imported,174.0,8.0,5394.0,174.0
Kalindi,KAAL,MnPerformance_1 KAAL JULY.xlsx,2026-09-03 13:11:39,,,436.93,Imported,276.0,7.0,5520.0,276.0
